Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,
Filename: msfp0119stt14.csv,,,,,,,,,,,,,,,,,,,,
"Table 14. Number of deaths of state and federal prisoners, by jurisdiction, 2001–2019",,,,,,,,,,,,,,,,,,,,
"Report title: Mortality in State and Federal Prisons, 2001–2019 – Statistical Tables  NCJ 300953",,,,,,,,,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2019; and Federal Bureau of Prisons, 2001–2019",,,,,,,,,,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,,,,,,,,,
Date of version: 12/1/2021,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Table 14. Number of deaths of state and federal prisoners, by jurisdiction, 2001–2019",,,,,,,,,,,,,,,,,,,,
Jurisdiction,,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Federal/a,,301,335,346,333,388,328,368,399,376,387,387,350,400,444,455,388,381,378,381
State/b,,"2,869","2,935","3,152","3,123","3,168","3,233","3,389","3,452","3,417","3,233","3,351","3,357","3,478","3,484","3,708","3,734","3,954","4,137","3,853"
,Alabama,87,85,92,65,66,61,54,75,80,66,104,86,107,102,112,118,116,125,129
,Alaska/c,8,14,4,8,4,6,10,14,7,13,12,11,8,12,15,10,9,11,3
,Arizona,64,73,84,66,78,72,61,77,85,85,86,87,95,99,105,126,133,131,114
,Arkansas,42,31,39,34,38,37,46,41,50,54,50,43,56,57,54,71,81,76,76
,California,287,337,333,348,366,424,395,371,395,414,388,368,365,317,353,334,384,449,398
,Colorado,42,51,47,39,54,31,42,38,49,48,37,48,40,35,51,57,41,55,49
,Connecticut/d,30,30,36,33,40,25,27,32,29,21,19,24,20,24,23,17,14,28,19
,Delaware/d,16,15,19,13,19,13,15,15,12,23,15,10,14,18,17,14,10,16,13
,Florida,182,183,221,226,244,261,249,291,278,275,297,324,305,346,354,356,428,440,400
,Georgia,93,103,126,90,122,103,143,128,125,112,121,103,122,121,131,133,173,163,157
,Hawaii/d,7,13,8,8,8,5,13,14,11,12,6,12,14,8,4,9,4,6,14
,Idaho,17,9,12,12,13,18,14,18,13,13,13,9,10,23,18,16,15,22,25
,Illinois,86,72,80,97,72,94,104,71,75,94,97,85,78,88,120,90,104,83,94
,Indiana,46,49,56,56,45,70,54,70,91,69,74,59,66,70,85,70,68,67,93
,Iowa,9,11,13,15,19,12,17,21,14,13,12,20,16,15,19,29,16,19,16
,Kansas,21,22,32,30,19,16,20,24,20,22,25,17,28,21,25,35,26,33,35
,Kentucky,36,41,45,42,43,46,46,68,57,42,60,55,40,44,60,42,70,50,63
,Louisiana,71,78,70,94,89,72,82,117,108,100,108,116,118,118,139,128,127,116,102
,Maine,6,7,2,4,0,6,1,2,4,3,5,2,3,7,5,5,4,8,8
,Maryland,70,71,67,78,57,61,57,69,56,40,41,46,58,43,62,49,57,57,61
,Massachusetts,29,20,30,25,37,39,39,29,29,39,33,42,39,45,34,34,37,42,34
,Michigan,114,113,127,138,140,138,117,99,148,93,119,124,124,121,118,106,106,135,116
,Minnesota,13,15,13,6,13,9,13,17,12,16,19,14,20,14,11,18,6,6,10
,Mississippi,36,33,58,51,61,58,77,54,52,52,47,41,68,50,45,65,76,76,73
,Missouri,57,65,65,77,68,66,78,87,81,88,74,71,92,97,106,99,94,106,84
,Montana,6,5,12,12,12,5,5,9,3,2,6,11,7,19,13,16,13,5,8
,Nebraska,7,8,7,7,8,8,12,6,11,12,17,11,16,13,17,9,16,10,17
,Nevada,27,25,24,31,28,23,39,35,35,41,34,37,35,44,47,42,47,29,34
,New Hampshire,2,9,6,6,8,6,6,5,9,4,10,5,8,5,8,9,5,8,8
,New Jersey,69,60,47,57,60,70,60,66,58,56,66,48,46,50,52,49,39,33,43
,New Mexico,11,15,11,16,18,13,22,29,21,16,16,14,17,24,19,16,18,22,18
,New York,175,185,198,153,170,131,148,133,142,124,117,115,142,123,115,147,143,138,112
,North Carolina,66,59,74,94,69,90,99,117,86,87,71,79,81,94,90,127,104,118,119
,North Dakota,3,1,1,1,1,1,0,0,0,1,1,3,1,0,0,4,2,0,1
,Ohio,115,113,91,126,121,106,123,101,120,116,111,126,124,111,138,133,149,151,136
,Oklahoma,51,64,71,53,74,80,98,88,79,60,85,79,87,107,107,93,86,113,100
,Oregon,24,33,25,34,37,40,36,31,34,39,40,26,30,31,37,47,25,34,39
,Pennsylvania,122,126,147,161,149,124,150,145,165,141,157,157,157,145,166,171,181,166,157
,Rhode Island/d,3,8,8,7,2,8,9,6,7,7,10,6,4,7,5,2,8,5,3
,South Carolina,69,45,63,50,75,65,72,83,49,70,55,58,66,66,76,79,105,100,70
,South Dakota,4,11,11,5,4,4,8,6,4,8,11,9,6,7,7,5,12,6,12
,Tennessee,51,61,97,71,76,84,73,74,69,74,59,84,82,83,94,102,96,121,103
,Texas,408,396,383,395,351,443,435,469,426,375,417,462,438,409,418,403,469,505,448
,Utah,5,9,10,11,8,7,7,11,17,13,12,15,23,23,16,21,20,17,21
,Vermont/d,3,2,5,1,6,7,1,3,3,5,0,2,8,6,4,7,4,2,5
,Virginia,71,69,93,86,84,78,103,86,87,93,99,86,82,90,90,90,93,106,90
,Washington,29,30,31,36,45,36,39,35,44,35,21,33,39,38,42,28,40,36,37
,West Virginia,17,8,15,13,10,13,19,19,18,20,23,24,26,24,28,26,29,34,28
,Wisconsin,48,49,41,40,29,45,43,44,42,25,48,46,43,58,46,66,43,52,49
,Wyoming,5,3,2,2,8,3,8,9,7,2,3,4,4,12,7,11,8,6,9
"Note: Data may have been revised from previously published statistics. Details may not sum to totals due to missing data. Excludes executions. For execution data, see Capital Punishment, 2019 – Statistical Tables (NCJ 300381, BJS, June 2021). See Methodology.",,,,,,,,,,,,,,,,,,,,
a/Excludes deaths in private federal facilities.,,,,,,,,,,,,,,,,,,,,
"b/Includes deaths in private state facilities. Includes nine prisoner deaths reported by the District of Columbia in 2001. As of December 30, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Counts include deaths only in state-operated prisons and jails and exclude deaths in 15 locally operated jails.,,,,,,,,,,,,,,,,,,,,
d/Prisons and jails form one integrated system. Data include total prison and jail population.,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, Mortality in Correctional Institutions, 2001–2019; and Federal Bureau of Prisons, 2001–2019.",,,,,,,,,,,,,,,,,,,,
