"State","Year","Total.Deaths"
"Federal",2001,301
"Alabama",2001,87
"Alaska",2001,8
"Arizona",2001,64
"Arkansas",2001,42
"California",2001,287
"Colorado",2001,42
"Connecticut",2001,30
"Delaware",2001,16
"Florida",2001,182
"Georgia",2001,93
"Hawaii",2001,7
"Idaho",2001,17
"Illinois",2001,86
"Indiana",2001,46
"Iowa",2001,9
"Kansas",2001,21
"Kentucky",2001,36
"Louisiana",2001,71
"Maine",2001,6
"Maryland",2001,70
"Massachusetts",2001,29
"Michigan",2001,114
"Minnesota",2001,13
"Mississippi",2001,36
"Missouri",2001,57
"Montana",2001,6
"Nebraska",2001,7
"Nevada",2001,27
"New Hampshire",2001,2
"New Jersey",2001,69
"New Mexico",2001,11
"New York",2001,175
"North Carolina",2001,66
"North Dakota",2001,3
"Ohio",2001,115
"Oklahoma",2001,51
"Oregon",2001,24
"Pennsylvania",2001,122
"Rhode Island",2001,3
"South Carolina",2001,69
"South Dakota",2001,4
"Tennessee",2001,51
"Texas",2001,408
"Utah",2001,5
"Vermont",2001,3
"Virginia",2001,71
"Washington",2001,29
"West Virginia",2001,17
"Wisconsin",2001,48
"Wyoming",2001,5
"Federal",2002,335
"Alabama",2002,85
"Alaska",2002,14
"Arizona",2002,73
"Arkansas",2002,31
"California",2002,337
"Colorado",2002,51
"Connecticut",2002,30
"Delaware",2002,15
"Florida",2002,183
"Georgia",2002,103
"Hawaii",2002,13
"Idaho",2002,9
"Illinois",2002,72
"Indiana",2002,49
"Iowa",2002,11
"Kansas",2002,22
"Kentucky",2002,41
"Louisiana",2002,78
"Maine",2002,7
"Maryland",2002,71
"Massachusetts",2002,20
"Michigan",2002,113
"Minnesota",2002,15
"Mississippi",2002,33
"Missouri",2002,65
"Montana",2002,5
"Nebraska",2002,8
"Nevada",2002,25
"New Hampshire",2002,9
"New Jersey",2002,60
"New Mexico",2002,15
"New York",2002,185
"North Carolina",2002,59
"North Dakota",2002,1
"Ohio",2002,113
"Oklahoma",2002,64
"Oregon",2002,33
"Pennsylvania",2002,126
"Rhode Island",2002,8
"South Carolina",2002,45
"South Dakota",2002,11
"Tennessee",2002,61
"Texas",2002,396
"Utah",2002,9
"Vermont",2002,2
"Virginia",2002,69
"Washington",2002,30
"West Virginia",2002,8
"Wisconsin",2002,49
"Wyoming",2002,3
"Federal",2003,346
