"State","Pop.2019","Pop.2020","Unc.Releases.2019","Unc.Releases.2020","Con.Releases.2019","Con.Releases.2020","Deaths.2019","Deaths.2020"
"Alabama",12251,11178,3222,3356,7255,5126,145,211
"Alaska",1717,1626,685,472,1029,1149,3,5
"Arizona",13034,13938,1917,2081,11006,11692,111,163
"Arkansas",9768,9760,763,717,8923,8917,82,126
"California",37863,39673,136,135,37176,38961,402,505
"Colorado",9891,9568,1246,1037,8510,8355,51,74
"Connecticut",4371,4387,2070,2031,2287,2251,7,6
"Delaware",2076,1738,175,127,1801,1523,8,20
"Florida",30140,28720,18360,17640,11365,10478,403,592
"Georgia",15876,16460,8197,7872,7524,8315,155,273
"Hawaii",1623,1126,366,314,680,797,13,14
"Idaho",4443,4001,429,569,3958,3007,27,36
"Illinois",23834,20589,3807,2942,19765,17471,102,171
"Indiana",11045,9893,1248,1165,9700,8588,97,140
"Iowa",6266,4767,1276,1015,4445,3709,21,35
"Kansas",6018,4693,1255,422,4728,4232,35,39
"Kentucky",19545,16531,5116,4475,14078,11768,67,98
"Louisiana",16868,14019,1360,1053,15396,12794,112,158
"Maine",744,974,353,490,391,477,0,7
"Maryland",7443,5933,2303,1216,5076,4652,60,62
"Massachusetts",2312,2212,1649,1258,633,917,30,37
"Michigan",11470,10478,465,410,8654,8630,36,36
"Minnesota",7032,5876,748,426,6216,5350,68,100
"Mississippi",7047,6655,405,406,6566,6123,76,106
"Missouri",18617,14643,1098,839,17393,13647,88,129
"Montana",2487,2517,252,206,2223,2277,12,33
"Nebraska",2317,2453,486,528,1774,1885,17,29
"Nevada",6689,5753,2181,1610,4465,4061,43,82
"New Hampshire",1339,1246,130,159,1199,1087,10,0
"New Jersey",8115,9711,4577,6439,3413,3141,46,90
"New Mexico",3508,3090,945,767,2337,2271,18,50
"New York",20637,16249,1945,1216,18182,14665,112,120
"North Carolina",17215,15960,2325,1848,14781,13980,109,132
"North Dakota",1318,1220,110,94,1200,1119,1,7
"Ohio",20409,20052,7167,6394,13106,13408,135,250
"Oklahoma",9332,8100,2496,1814,6758,6175,78,111
"Oregon",5885,5139,37,15,5623,5074,30,50
"Pennsylvania",17838,15591,3006,2827,14653,12522,159,220
"Rhode Island",699,660,460,412,235,236,0,3
"South Carolina",6276,5659,1939,1662,4262,3877,71,119
"South Dakota",4549,3873,300,190,2303,2264,17,7
"Tennessee",14165,13484,5523,4834,8543,8532,99,118
"Texas",78532,66726,9651,8552,65054,56028,413,674
"Utah",4038,4156,629,627,3388,3492,21,37
"Vermont",2470,1182,395,NA,2065,NA,9,NA
"Virginia",12695,12904,1068,1007,11522,11752,95,140
"Washington",24487,17014,2031,2097,22415,14853,36,51
"West Virginia",4143,3429,884,629,3029,2648,28,46
"Wisconsin",5859,6023,236,239,5569,5703,44,67
"Wyoming",1013,1094,231,300,768,787,14,7
