Vera Institute of Justice,,,,,,,,,,,,,,,,,,,,,
People in Jail and Prison in 2024 Data Appendix,,,,,https://www.vera.org/publications/people-in-jail-and-prison-in-2024,,,,,,,,,,,,,,,,
"October 30, 2024",,,,,,,,,,,,,,,,,,,,,
"This sheet contains counts of the number of people under state and federal prison jurisdiction at the end of the month for September and December 2022, March, June, September, and December 2023, and March 2024. ",,,,,,,,,,,,,,,,,,,,,
See the current report for jurisdictional notes and methodology.,,,,,,,,,,,,,,,,,,,,,
"Note: Alaska, Connecticut, Delaware, Hawaii, Rhode Island, and Vermont operate unified prison and jail systems. These states are less comparable to the other states.",,,,,,,,,,,,,,,,,,,,,
"Contact: Jacob Kang-Brown, jkangbrown@vera.org",,,,,,,,,,,,,,,,,,,,,
Version 1.0 original release,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
state_name,state_abbr,q3_2022,q4_2022,q1_2023,q2_2023,q3_2023,q4_2023,q1_2024,,,,,,,,,,,,,
Alabama,AL,"26,290","25,195","26,481","26,982","27,001","27,130","27,208",,,,,,,,,,,,,
Alaska,AK,"4,587","4,404","4,513","4,507","4,528","4,401","4,444",,,,,,,,,,,,,
Arizona,AZ,"33,584","33,810","34,017","34,377","34,285","34,422","34,787",,,,,,,,,,,,,
Arkansas,AR,"17,432","17,624","18,075","18,213","18,458","18,503","18,806",,,,,,,,,,,,,
California,CA,"98,039","97,313","97,359","97,681","96,814","95,702","94,717",,,,,,,,,,,,,
Colorado,CO,"16,743","16,942","16,992","17,054","17,254","17,272","17,376",,,,,,,,,,,,,
Connecticut,CT,"10,088","9,901","10,012","10,161","10,326","10,420","10,580",,,,,,,,,,,,,
Delaware,DE,"4,996","4,928","4,983","4,963","5,001","4,839","4,940",,,,,,,,,,,,,
Florida,FL,"84,121","84,678","85,601","86,686","85,068","87,207","88,031",,,,,,,,,,,,,
Georgia,GA,"47,997","48,532","49,269","49,513","49,883","50,674","51,002",,,,,,,,,,,,,
Hawaii,HI,"4,191","4,082","4,081","4,078","4,010","3,942","3,887",,,,,,,,,,,,,
Idaho,ID,"9,138","9,008","9,268","9,399","9,628","9,710","9,763",,,,,,,,,,,,,
Illinois,IL,"29,577","29,634","29,666","29,930","30,271","29,828","29,242",,,,,,,,,,,,,
Indiana,IN,"23,257","23,350","23,457","23,353","23,052","24,080","24,528",,,,,,,,,,,,,
Iowa,IA,"9,345","9,142","9,136","9,319","9,508","9,631","9,590",,,,,,,,,,,,,
Kansas,KS,"8,430","8,552","8,703","8,945","9,023","8,979","9,161",,,,,,,,,,,,,
Kentucky,KY,"19,974","20,011","19,960","19,876","19,885","19,214","19,369",,,,,,,,,,,,,
Louisiana,LA,"27,267","27,212","27,677","27,599","28,157","28,093","28,387",,,,,,,,,,,,,
Maine,ME,"1,652","1,654","1,678","1,761","1,826","1,838","1,821",,,,,,,,,,,,,
Maryland,MD,"15,317","15,479","15,639","15,805","15,941","16,119","16,178",,,,,,,,,,,,,
Massachusetts,MA,"6,193","6,080","6,036","6,122","6,167","6,148","6,250",,,,,,,,,,,,,
Michigan,MI,"32,227","32,389","32,616","32,872","32,951","33,012","32,969",,,,,,,,,,,,,
