State,Deaths.2019,Deaths.2020,Pct.Chg.Deaths.1920,Pct.Chg.Rate.1920,Pct.Chg.Pop.1920,Pop.2019,Pop.2020,CRate.2019,CRate.2020
Alabama,130,189,45.38461538461539,49.42878393454818,-2.7064186988928287,27638,26890,47.03668861712135,70.28635180364448
Alaska,4,14,250,258.6019012288431,-2.3987327449649243,4419,4313,9.051821679112921,32.46000463714352
Arizona,113,156,38.05309734513274,44.91260094911621,-4.733545294927158,42146,40151,26.811559815878137,38.85332868421708
Arkansas,76,122,60.526315789473685,72.45522881636185,-6.917107187043077,17782,16552,42.73984928579462,73.70710488158531
BoP - Alabama,4,5,25,NA,NA,NA,NA,NA,NA
BoP - All Locations,383,466,21.671018276762403,33.91489840104979,-9.143030589187548,177906,161640,21.528222769327623,28.829497649096755
BoP - Arizona,6,12,100,NA,NA,NA,NA,NA,NA
BoP - Arkansas,4,6,50,NA,NA,NA,NA,NA,NA
BoP - California,13,31,138.46153846153845,NA,NA,NA,NA,NA,NA
BoP - Colorado,15,9,-40,NA,NA,NA,NA,NA,NA
BoP - Connecticut,0,2,NA,NA,NA,NA,NA,NA,NA
BoP - Florida,23,28,21.73913043478261,NA,NA,NA,NA,NA,NA
BoP - Georgia,8,13,62.5,NA,NA,NA,NA,NA,NA
BoP - Hawaii,0,2,NA,NA,NA,NA,NA,NA,NA
BoP - Illinois,8,8,0,NA,NA,NA,NA,NA,NA
BoP - Indiana,7,24,242.85714285714283,NA,NA,NA,NA,NA,NA
BoP - Kansas,3,1,-66.66666666666666,NA,NA,NA,NA,NA,NA
BoP - Kentucky,21,28,33.33333333333333,NA,NA,NA,NA,NA,NA
BoP - Louisiana,1,14,1300,NA,NA,NA,NA,NA,NA
BoP - Maryland,4,0,NA,NA,NA,NA,NA,NA,NA
BoP - Massachusetts,16,16,0,NA,NA,NA,NA,NA,NA
BoP - Michigan,2,3,50,NA,NA,NA,NA,NA,NA
BoP - Minnesota,10,16,60,NA,NA,NA,NA,NA,NA
BoP - Mississippi,1,5,400,NA,NA,NA,NA,NA,NA
BoP - Missouri,26,27,3.8461538461538463,NA,NA,NA,NA,NA,NA
BoP - New Jersey,0,4,NA,NA,NA,NA,NA,NA,NA
BoP - New York,4,6,50,NA,NA,NA,NA,NA,NA
BoP - North Carolina,113,98,-13.274336283185843,NA,NA,NA,NA,NA,NA
BoP - Ohio,4,9,125,NA,NA,NA,NA,NA,NA
BoP - Oklahoma,4,7,75,NA,NA,NA,NA,NA,NA
BoP - Oregon,1,1,0,NA,NA,NA,NA,NA,NA
BoP - Pennsylvania,9,7,-22.22222222222222,NA,NA,NA,NA,NA,NA
BoP - Puerto Rico,1,1,0,NA,NA,NA,NA,NA,NA
BoP - South Carolina,4,6,50,NA,NA,NA,NA,NA,NA
BoP - Tennessee,1,4,300,NA,NA,NA,NA,NA,NA
BoP - Texas,53,46,-13.20754716981132,NA,NA,NA,NA,NA,NA
BoP - Unlisted,5,3,-40,NA,NA,NA,NA,NA,NA
BoP - Virginia,5,11,120,NA,NA,NA,NA,NA,NA
BoP - Washington,0,0,NA,NA,NA,NA,NA,NA,NA
BoP - West Virginia,7,12,71.42857142857143,NA,NA,NA,NA,NA,NA
BoP - Wisconsin,0,1,NA,NA,NA,NA,NA,NA,NA
California,403,498,23.573200992555833,37.053112563347554,-9.835538441026767,127507,114966,31.606107899958435,43.317154637023116
Colorado,45,68,51.11111111111111,73.25663029005729,-12.781917287593139,19997,17441,22.50337550632595,38.988590103778456
Connecticut,19,29,52.63157894736842,96.4003655631098,-22.285491419656786,12820,9963,14.82059282371295,29.10769848439225
Delaware,12,21,75,114.93142144638404,-18.578680203045685,5910,4812,20.304568527918782,43.64089775561097
Florida,400,590,47.5,59.9080072050301,-7.759465846585691,96901,89382,41.27924376425424,66.00881609272561
Georgia,160,281,75.625,90.34007732211981,-7.7309400779621065,55155,50891,29.009156014867195,55.21604998919259
Hawaii,16,16,0,18.970555180939538,-15.945588513130549,5293,4449,30.228603816361233,35.963137783771636
Idaho,26,34,30.76923076923077,33.89875082182774,-2.337228714524207,8985,8775,28.937117417918756,38.74643874643875
Illinois,96,168,75,113.398047688625,-17.993626513702996,39225,32167,24.47418738049713,52.22743805763671
Indiana,97,143,47.42268041237113,54.00099890550548,-4.271607677798736,27039,25884,35.87410777025777,55.24648431463453
Iowa,15,29,93.33333333333333,128.19232547387887,-15.276145710928319,9361,7931,16.02392906740733,36.565376371201616
Kansas,35,38,8.571428571428571,20.516766941840405,-9.911764705882353,10200,9189,34.31372549019608,41.35379257808249
Kentucky,63,77,22.22222222222222,42.44106168338886,-14.19453016020628,23657,20299,26.630595595384033,37.93290309867481
Louisiana,96,138,43.75,63.39187608549249,-12.02132967444181,32068,28213,29.936385181489335,48.91362138021479
Maine,8,7,-12.5,10.83015267175572,-21.050365906155832,2323,1834,34.438226431338784,38.167938931297705
Maryland,57,55,-3.508771929824561,6.2943925137412124,-9.222654376898076,18769,17038,30.369225851137514,32.280784129592675
Massachusetts,35,42,20,38.936170212765944,-13.629402756508421,8489,7332,41.2298268347273,57.283142389525366
Michigan,117,248,111.96581196581197,130.161663319038,-7.9056829407788705,38466,35425,30.416471689284045,70.00705716302046
Minnesota,10,18,80,117.18847539015607,-17.122674360760122,10051,8330,9.949258780220873,21.608643457382954
Mississippi,74,109,47.2972972972973,59.77499467735796,-7.809543292589373,19553,18026,37.84585485603232,60.46821258182626
Missouri,86,130,51.162790697674424,79.72561875641841,-15.892463331816431,28567,24027,30.104666223264605,54.10579764431681
Montana,8,25,212.5,199.4030988061976,4.374337221633086,3772,3937,21.208907741251327,63.500127000254
Nebraska,17,30,76.47058823529412,80.88071955920462,-2.4381433989525014,5537,5402,30.702546505327796,55.53498704183635
Nevada,41,80,95.1219512195122,133.04833529147328,-16.274042045623975,13414,11231,30.565081258386762,71.23141305315644
New Hampshire,9,7,-22.22222222222222,-15.489603370889446,-7.966616084977238,2636,2426,34.14264036418817,28.854080791426217
New Jersey,40,87,117.5,141.85004669624095,-10.068241469816273,19050,17132,20.99737532808399,50.782162035956105
New Mexico,19,NA,NA,NA,NA,6902,NA,27.5282526803825,NA
New York,113,121,7.079646017699115,28.685244820853512,-16.78949193688226,46136,38390,24.492803884168545,31.51862464183381
North Carolina,119,141,18.487394957983195,30.63850182998357,-9.301321357630192,34737,31506,34.25742004203011,44.75338030851267
North Dakota,1,7,600,874.4987971130714,-28.168202764976957,1736,1247,5.76036866359447,56.13472333600642
Ohio,136,250,83.82352941176471,97.78747079509674,-7.060073788899583,49872,46351,27.269810715431507,53.936268904662256
Oklahoma,100,139,39,55.3638254503099,-10.532584018757676,26869,24039,37.217611373702034,57.822704771413115
Oregon,41,50,21.951219512195124,37.97711082767177,-11.614891208652999,15902,14055,25.78292038737266,35.574528637495554
Pennsylvania,158,217,37.34177215189873,52.4979412076865,-9.93860568592637,46747,42101,33.79896036109269,51.542718700268395
Rhode Island,3,8,166.66666666666669,216.66666666666657,-15.789473684210526,2755,2320,10.889292196007261,34.48275862068965
South Carolina,71,121,70.4225352112676,85.55764660720995,-8.156554942723801,18856,17318,37.653797199830294,69.86949994225661
South Dakota,14,11,-21.428571428571427,-12.572907253758306,-10.12919896640827,3870,3478,36.17571059431524,31.62737205290397
Tennessee,105,164,56.19047619047619,69.89831086712957,-8.068258363894918,26722,24566,39.29346605792979,66.7589351135716
Texas,447,700,56.59955257270693,73.8602592720362,-9.927919566898685,161625,145579,27.65661252900232,48.08385824878588
Utah,21,36,71.42857142857143,91.76658482515315,-10.605608591885442,6704,5993,31.324582338902147,60.07008176205573
Vermont,4,2,-50,-42.23712067748765,-13.439218081857055,1637,1417,24.43494196701283,14.114326040931546
Virginia,90,128,42.22222222222222,54.93080883574157,-8.20274980103735,36439,33450,24.698811712725377,38.2660687593423
Washington,37,51,37.83783783783784,59.11221644922179,-13.370675794823919,19281,16703,19.189876043773662,30.533437107106508
West Virginia,28,46,64.28571428571429,131.35711320642827,-28.99042004421518,6785,4818,41.26750184229919,95.47530095475301
Wisconsin,51,70,37.254901960784316,51.23789068859045,-9.245691449504621,24022,21801,21.230538672883192,32.108618870694
Wyoming,10,5,-50,-37.131434282858564,-20.46899841017488,2516,2001,39.745627980922094,24.987506246876563
