"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921"
"Alabama",130,189,NA,45.3846153846154,NA,NA,27638,26890,NA,-2.70641869889283,NA,NA,47.0366886171213,70.2863518036445,NA,49.4287839345482,NA,NA
"Alaska",4,14,NA,250,NA,NA,4419,4313,4250,-2.39873274496492,-1.46070020867146,-3.82439465942521,9.05182167911292,32.4600046371435,NA,258.601901228843,NA,NA
"Arizona",113,156,NA,38.0530973451327,NA,NA,42146,40151,36704,-4.73354529492716,-8.58509128041643,-12.9122573909742,26.8115598158781,38.8533286842171,NA,44.9126009491162,NA,NA
"Arkansas",76,122,NA,60.5263157894737,NA,NA,17782,16552,NA,-6.91710718704308,NA,NA,42.7398492857946,73.7071048815853,NA,72.4552288163619,NA,NA
"BoP - Alabama",4,5,10,25,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - All Locations",383,466,409,21.6710182767624,-12.2317596566524,6.78851174934726,177906,161640,152259,-9.14303058918755,-5.80363771343727,-14.4160399311996,21.5282227693276,28.8294976490968,26.8621230928878,33.9148984010498,-6.82417217308195,24.7763151687544
"BoP - Arizona",6,12,8,100,-33.3333333333333,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Arkansas",4,6,7,50,16.6666666666667,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - California",13,31,17,138.461538461538,-45.1612903225806,30.7692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Colorado",15,9,12,-40,33.3333333333333,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Connecticut",0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Florida",23,28,23,21.7391304347826,-17.8571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Georgia",8,13,12,62.5,-7.69230769230769,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Hawaii",0,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Illinois",8,8,13,0,62.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Indiana",7,24,12,242.857142857143,-50,71.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Kansas",3,1,3,-66.6666666666667,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Kentucky",21,28,21,33.3333333333333,-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Louisiana",1,14,1,1300,-92.8571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Maryland",4,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Massachusetts",16,16,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Michigan",2,3,3,50,0,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Minnesota",10,16,8,60,-50,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Mississippi",1,5,3,400,-40,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Missouri",26,27,35,3.84615384615385,29.6296296296296,34.6153846153846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - New Jersey",0,4,5,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - New York",4,6,4,50,-33.3333333333333,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - North Carolina",113,98,78,-13.2743362831858,-20.4081632653061,-30.9734513274336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Ohio",4,9,5,125,-44.4444444444444,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Oklahoma",4,7,3,75,-57.1428571428571,-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Oregon",1,1,5,0,400,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Pennsylvania",9,7,10,-22.2222222222222,42.8571428571429,11.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Puerto Rico",1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - South Carolina",4,6,8,50,33.3333333333333,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Tennessee",1,4,5,300,25,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Texas",53,46,52,-13.2075471698113,13.0434782608696,-1.88679245283019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Unlisted",5,3,4,-40,33.3333333333333,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Virginia",5,11,6,120,-45.4545454545455,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Washington",0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - West Virginia",7,12,15,71.4285714285714,25,114.285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Wisconsin",0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"California",403,498,NA,23.5732009925558,NA,NA,127507,114966,NA,-9.83553844102677,NA,NA,31.6061078999584,43.3171546370231,NA,37.0531125633476,NA,NA
"Colorado",45,68,46,51.1111111111111,-32.3529411764706,2.22222222222222,19997,17441,15670,-12.7819172875931,-10.1542342755576,-21.6382457368605,22.5033755063259,38.9885901037785,29.3554562858966,73.2566302900573,-24.7075716055408,30.4491242997944
"Connecticut",19,29,20,52.6315789473684,-31.0344827586207,5.26315789473684,12820,9963,8961,-22.2854914196568,-10.0572116832279,-30.1014040561622,14.8205928237129,29.1076984843923,22.3189376185694,96.4003655631098,-23.3229050021357,50.5940948789785
"Delaware",12,21,17,75,-19.047619047619,41.6666666666667,5910,4812,4586,-18.5786802030457,-4.69659185369909,-22.4027072758037,20.3045685279188,43.640897755611,37.0693414740515,114.931421446384,-15.0582518223164,82.5665067597035
"Florida",400,590,441,47.5,-25.2542372881356,10.25,96901,89382,81168,-7.75946584658569,-9.18976975229912,-16.2361585535753,41.2792437642542,66.0088160927256,54.3317563571851,59.9080072050301,-17.6901517505438,31.6200380691898
