Agency,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2016,Population.2017,Population.2018,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2016,Crude.Rate.2017,Crude.Rate.2018,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
Alabama,NA,NA,NA,130,189,173,NA,NA,NA,NA,NA,NA,27724,27029,25244,26079,26982,27208,NA,NA,NA,46.89078055114702,69.92489548262976,68.53113611155126,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,NA,NA,NA,4,14,8,18,10,NA,NA,NA,NA,4427,4146,4289,4527,4507,4444,NA,NA,NA,9.03546419697312,33.76748673420164,18.652366519002097,39.76143141153081,22.187708009762588,NA,NA,NA,NA,NA,NA,NA
Arizona,NA,NA,NA,113,156,67,155,108,54,NA,NA,NA,42186,40778,36336,34138,34377,34787,NA,NA,NA,26.786137581188072,38.25592231105008,18.439013650374285,45.40394867889156,31.416353957587923,15.52304021617271,NA,NA,NA,NA,NA,NA
Arkansas,NA,NA,NA,76,122,68,NA,NA,NA,NA,NA,NA,17779,16947,16243,17192,18213,18806,NA,NA,NA,42.74706113954666,71.98914262111288,41.86418765006464,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - All Locations,NA,NA,NA,383,466,409,17,NA,NA,NA,NA,NA,177526,165596,153024,157603,159058,156007,NA,NA,NA,21.57430460890236,28.140776347254764,26.727833542450856,1.078659670183943,NA,NA,NA,NA,NA,NA,NA,NA
California,NA,NA,NA,403,498,413,470,461,NA,NA,NA,NA,127235,117182,96680,97765,97681,94717,NA,NA,NA,31.673674696427867,42.497994572545274,42.71824575920562,48.074464276581594,47.19443904136936,NA,NA,NA,NA,NA,NA,NA
Colorado,NA,NA,NA,45,68,46,54,43,NA,NA,NA,NA,19958,17938,15796,16552,17054,17376,NA,NA,NA,22.547349433811004,37.90835098673208,29.121296530767285,32.62445625906235,25.214026034947814,NA,NA,NA,NA,NA,NA,NA
Connecticut,NA,NA,NA,19,29,20,NA,NA,NA,NA,NA,NA,12748,10476,9093,9887,10161,10580,NA,NA,NA,14.90429871352369,27.682321496754486,21.99494116353239,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delaware,NA,NA,NA,12,21,17,NA,NA,NA,NA,NA,NA,5881,4948,4634,4923,4963,4940,NA,NA,NA,20.404693079408265,42.44139046079224,36.685369011653,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,NA,NA,NA,400,590,440,391,451,NA,NA,NA,NA,96779,91004,81515,83596,86686,88031,NA,NA,NA,41.331280546399526,64.83231506307415,53.97779549776114,46.77257285037562,52.026855547608605,NA,NA,NA,NA,NA,NA,NA
