Agency,Deaths.2019,Deaths.2020,Deaths.2021,Deaths.2022,Deaths.2023,Deaths.2024,Population.2019,Population.2020,Population.2021,Population.2022,Population.2023,Population.2024,Crude.Rate.2019,Crude.Rate.2020,Crude.Rate.2021,Crude.Rate.2022,Crude.Rate.2023,Crude.Rate.2024,SMR.2019,SMR.2020,SMR.2021,SMR.2022,SMR.2023,SMR.2024
Alabama,130,189,173,NA,NA,NA,27590,27207.5,25214.5,25975,26731.5,27208,47.11963269981594,69.46912998771816,68.61131491800353,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,4,14,8,18,10,NA,4415,4250.5,4278,4497,4510,4444,9.060089582020513,32.95722212714675,18.700450894842035,40.02846587366332,22.17295881321278,NA,NA,NA,NA,NA,NA,NA
Arizona,113,156,67,155,108,54,42123.5,41381,36693,34412,34197,34787,26.825940096554426,37.70646725308602,18.261342182811973,45.04528287891415,31.582592712103775,15.52304021617271,NA,NA,NA,NA,NA,NA
Arkansas,76,122,68,NA,NA,NA,17784,17403.5,16165.5,17074,18144,18806,42.73504611308661,70.14910658491254,42.065858121402286,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Alabama,4,5,10,NA,NA,NA,3399,2648,2538,3001,3160,NA,11.768167107972932,18.882175226586103,39.40110323089046,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - All Locations,383,466,409,NA,NA,NA,178122,170159,152628.5,157032.5,159064,156007,21.5023572642202,27.40585823463859,26.79727221978126,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Arizona,6,12,8,NA,NA,NA,4079,3506,3430,3616,3679,NA,14.709487619514586,34.227039361095265,23.323615160349853,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Arkansas,4,6,7,NA,NA,NA,3079,2956,2863,3351,3455,NA,12.991230919129586,20.29769959404601,24.449877750611247,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - California,13,31,17,NA,NA,NA,16449,11802,11654,14360,13770,NA,7.903216000972703,26.26673445178783,14.587266174703965,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Colorado,15,9,12,NA,NA,NA,3690,3262,3254,3485,3491,NA,40.650406504065046,27.590435315757205,36.87768899815612,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Connecticut,0,2,0,NA,NA,NA,1006,817,927,1027,997,NA,0,24.479804161566705,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Florida,23,28,23,NA,NA,NA,10443,9048,9533,10319,10815,NA,22.024322512687924,30.94606542882405,24.126717717402705,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Georgia,8,13,12,NA,NA,NA,7035,5982,4781,4172,3413,NA,11.371712864250178,21.731862253426947,25.099351600083665,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Hawaii,0,2,2,NA,NA,NA,453,327,313,348,270,NA,0,61.162079510703364,63.897763578274756,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Illinois,8,8,13,NA,NA,NA,5201,5235,5464,5320,5592,NA,15.381657373582003,15.281757402101242,23.792093704245975,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Indiana,7,24,12,NA,NA,NA,2650,2518,2384,2569,2586,NA,26.415094339622645,95.31374106433678,50.335570469798654,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Kansas,3,1,3,NA,NA,NA,1667,1584,1668,1529,1593,NA,17.99640071985603,6.313131313131314,17.98561151079137,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Kentucky,21,28,21,NA,NA,NA,6633,6059,5767,6614,6811,NA,31.659882406151063,46.212246245254995,36.41408011097624,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Louisiana,1,14,1,NA,NA,NA,4908,4244,4693,4957,5028,NA,2.037489812550937,32.98774740810556,2.1308331557639035,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Maryland,4,0,0,NA,NA,NA,1268,1084,1157,1278,929,NA,31.545741324921135,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Massachusetts,16,16,16,NA,NA,NA,1101,920,755,962,925,NA,145.322434150772,173.91304347826087,211.9205298013245,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Michigan,2,3,3,NA,NA,NA,1440,2802,2952,2824,1600,NA,13.88888888888889,10.706638115631693,10.162601626016261,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Minnesota,10,16,8,NA,NA,NA,3055,2619,2484,2715,2870,NA,32.733224222585925,61.092019854906454,32.2061191626409,NA,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Mississippi,1,5,3,NA,NA,NA,5273,3858,3585,3821,4459,NA,1.8964536317087046,12.960082944530845,8.368200836820083,NA,NA,NA,NA,NA,NA,NA,NA,NA
