"State","Deaths.2019","Deaths.2020","Deaths.2021","Pct.Chg.Deaths.1920","Pct.Chg.Deaths.2021","Pct.Chg.Deaths.1921","CRate.2019","CRate.2020","CRate.2021","Pct.Chg.Rate.1920","Pct.Chg.Rate.2021","Pct.Chg.Rate.1921","Pop.2019","Pop.2020","Pop.2021","Pct.Chg.Pop.1920","Pct.Chg.Pop.2021","Pct.Chg.Pop.1921"
"Alabama",130,189,NA,45.3846153846154,NA,NA,46.9670147042885,70.7070707070707,NA,50.5462315462315,NA,NA,27679,26730,NA,-3.42859207341306,NA,NA
"Alaska",4,14,8,250,-42.8571428571429,100,9.04363554148768,32.2209436133487,18.8235294117647,256.283084004603,-41.5798319327731,108.141176470588,4423,4345,4250,-1.7635089305901,-2.18642117376295,-3.91137237169342
"Arizona",113,156,108,38.0530973451327,-30.7692307692308,-4.42477876106195,26.7988426694493,38.9941508773684,29.4245858761988,45.5068465393908,-24.5410267587687,9.79797239431839,42166,40006,36704,-5.12261063416022,-8.25376193570964,-12.9535644832329
"Arkansas",76,122,NA,60.5263157894737,NA,NA,42.7446569178853,73.8811845212863,NA,72.8430869458513,NA,NA,17780,16513,NA,-7.1259842519685,NA,NA
"BoP - Alabama",4,5,10,25,100,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - All Locations",383,466,409,21.6710182767624,-12.2317596566524,6.78851174934726,21.5503902139847,28.9552498477675,26.8621230928878,34.3606754228401,-7.22883334070443,24.6479661210782,177723,160938,152259,-9.44447257811313,-5.39275994482347,-14.3279147887443
"BoP - Arizona",6,12,8,100,-33.3333333333333,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Arkansas",4,6,7,50,16.6666666666667,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - California",13,31,17,138.461538461538,-45.1612903225806,30.7692307692308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Colorado",15,9,12,-40,33.3333333333333,-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Connecticut",NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Florida",23,28,23,21.7391304347826,-17.8571428571429,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Georgia",8,13,12,62.5,-7.69230769230769,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Hawaii",NA,2,2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Illinois",8,8,13,0,62.5,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Indiana",7,24,12,242.857142857143,-50,71.4285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Kansas",3,1,3,-66.6666666666667,200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BoP - Kentucky",21,28,21,33.3333333333333,-25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
