Agency,BJS.2001,BJS.2002,BJS.2003,BJS.2004,BJS.2005,BJS.2006,BJS.2007,BJS.2008,BJS.2009,BJS.2010,BJS.2011,BJS.2012,BJS.2013,BJS.2014,BJS.2015,BJS.2016,BJS.2017,BJS.2018,BJS.2019,CMP.2001,CMP.2002,CMP.2003,CMP.2004,CMP.2005,CMP.2006,CMP.2007,CMP.2008,CMP.2009,CMP.2010,CMP.2011,CMP.2012,CMP.2013,CMP.2014,CMP.2015,CMP.2016,CMP.2017,CMP.2018,CMP.2019,CMP.2020
Alabama,87,85,92,65,66,61,54,75,80,66,104,86,107,102,112,118,116,125,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,189
Alaska,8,14,4,8,4,6,10,14,7,13,12,11,8,12,15,10,9,11,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,10,9,11,4,14
Arizona,64,73,84,66,78,72,61,77,85,85,86,87,95,99,105,126,133,131,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132,130,113,156
Arkansas,42,31,39,34,38,37,46,41,50,54,50,43,56,57,54,71,81,76,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,72,85,76,76,122
California,287,337,333,348,366,424,395,371,395,414,388,368,365,317,353,334,384,449,398,NA,NA,NA,NA,334,404,379,360,396,419,393,375,371,324,364,339,394,462,403,498
Colorado,42,51,47,39,54,31,42,38,49,48,37,48,40,35,51,57,41,55,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,52,38,52,45,68
Connecticut,30,30,36,33,40,25,27,32,29,21,19,24,20,24,23,17,14,28,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,17,14,28,19,29
Delaware,16,15,19,13,19,13,15,15,12,23,15,10,14,18,17,14,10,16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,13,9,14,12,21
Florida,182,183,221,226,244,261,249,291,278,275,297,324,305,346,354,356,428,440,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428,440,400,590
Georgia,93,103,126,90,122,103,143,128,125,112,121,103,122,121,131,133,173,163,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,138,175,175,160,281
