State,Deaths.2019,Deaths.2020,Pct.Chg.Deaths.1920,Pct.Chg.Rate.1920,Pct.Chg.Pop.1920,Pop.Jun.2019,Pop.Dec.2019,Pop.Jun.2020,Crude.Rate.2019,Crude.Rate.2020
Alabama,130,189,45.38,49.43,-2.71,27638,28266,26890,47.04,70.29
Alaska,4,14,250,258.6,-2.4,4419,4475,4313,9.05,32.46
Arizona,113,156,38.05,44.91,-4.73,42146,42441,40151,26.81,38.85
Arkansas,76,122,60.53,72.46,-6.92,17782,17759,16552,42.74,73.71
BoP - Alabama,4,5,25,NA,NA,NA,NA,NA,NA,NA
BoP - All Locations,383,466,21.67,33.91,-9.14,177906,175116,161640,21.53,28.83
BoP - Arizona,6,12,100,NA,NA,NA,NA,NA,NA,NA
BoP - Arkansas,4,6,50,NA,NA,NA,NA,NA,NA,NA
BoP - California,13,31,138.46,NA,NA,NA,NA,NA,NA,NA
BoP - Colorado,15,9,-40,NA,NA,NA,NA,NA,NA,NA
BoP - Connecticut,0,2,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Florida,23,28,21.74,NA,NA,NA,NA,NA,NA,NA
BoP - Georgia,8,13,62.5,NA,NA,NA,NA,NA,NA,NA
BoP - Hawaii,0,2,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Illinois,8,8,0,NA,NA,NA,NA,NA,NA,NA
BoP - Indiana,7,24,242.86,NA,NA,NA,NA,NA,NA,NA
BoP - Kansas,3,1,-66.67,NA,NA,NA,NA,NA,NA,NA
BoP - Kentucky,21,28,33.33,NA,NA,NA,NA,NA,NA,NA
BoP - Louisiana,1,14,1300,NA,NA,NA,NA,NA,NA,NA
BoP - Maryland,4,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - Massachusetts,16,16,0,NA,NA,NA,NA,NA,NA,NA
BoP - Michigan,2,3,50,NA,NA,NA,NA,NA,NA,NA
BoP - Minnesota,10,16,60,NA,NA,NA,NA,NA,NA,NA
BoP - Mississippi,1,5,400,NA,NA,NA,NA,NA,NA,NA
BoP - Missouri,26,27,3.85,NA,NA,NA,NA,NA,NA,NA
BoP - New Jersey,0,4,NA,NA,NA,NA,NA,NA,NA,NA
BoP - New York,4,6,50,NA,NA,NA,NA,NA,NA,NA
BoP - North Carolina,113,98,-13.27,NA,NA,NA,NA,NA,NA,NA
BoP - Ohio,4,9,125,NA,NA,NA,NA,NA,NA,NA
BoP - Oklahoma,4,7,75,NA,NA,NA,NA,NA,NA,NA
BoP - Oregon,1,1,0,NA,NA,NA,NA,NA,NA,NA
BoP - Pennsylvania,9,7,-22.22,NA,NA,NA,NA,NA,NA,NA
BoP - Puerto Rico,1,1,0,NA,NA,NA,NA,NA,NA,NA
BoP - South Carolina,4,6,50,NA,NA,NA,NA,NA,NA,NA
BoP - Tennessee,1,4,300,NA,NA,NA,NA,NA,NA,NA
BoP - Texas,53,46,-13.21,NA,NA,NA,NA,NA,NA,NA
BoP - Unlisted,5,3,-40,NA,NA,NA,NA,NA,NA,NA
BoP - Virginia,5,11,120,NA,NA,NA,NA,NA,NA,NA
BoP - Washington,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BoP - West Virginia,7,12,71.43,NA,NA,NA,NA,NA,NA,NA
BoP - Wisconsin,0,1,NA,NA,NA,NA,NA,NA,NA,NA
California,403,498,23.57,37.05,-9.84,127507,125507,114966,31.61,43.32
Colorado,45,68,51.11,73.26,-12.78,19997,19714,17441,22.5,38.99
Connecticut,19,29,52.63,96.4,-22.29,12820,12293,9963,14.82,29.11
Delaware,12,21,75,114.93,-18.58,5910,5692,4812,20.3,43.64
Florida,400,590,47.5,59.91,-7.76,96901,96009,89382,41.28,66.01
Georgia,160,281,75.62,90.34,-7.73,55155,55556,50891,29.01,55.22
Hawaii,16,16,0,18.97,-15.95,5293,5179,4449,30.23,35.96
Idaho,26,34,30.77,33.9,-2.34,8985,9437,8775,28.94,38.75
Illinois,96,168,75,113.4,-17.99,39225,38259,32167,24.47,52.23
Indiana,97,143,47.42,54,-4.27,27039,27268,25884,35.87,55.25
Iowa,15,29,93.33,128.19,-15.28,9361,9282,7931,16.02,36.57
Kansas,35,38,8.57,20.52,-9.91,10200,10177,9189,34.31,41.35
Kentucky,63,77,22.22,42.44,-14.19,23657,23436,20299,26.63,37.93
Louisiana,96,138,43.75,63.39,-12.02,32068,31609,28213,29.94,48.91
Maine,8,7,-12.5,10.83,-21.05,2323,2205,1834,34.44,38.17
Maryland,57,55,-3.51,6.29,-9.22,18769,18686,17038,30.37,32.28
Massachusetts,35,42,20,38.94,-13.63,8489,8205,7332,41.23,57.28
Michigan,117,248,111.97,130.16,-7.91,38466,38053,35425,30.42,70.01
Minnesota,10,18,80,117.19,-17.12,10051,9982,8330,9.95,21.61
Mississippi,74,109,47.3,59.77,-7.81,19553,19469,18026,37.85,60.47
Missouri,86,130,51.16,79.73,-15.89,28567,26044,24027,30.1,54.11
Montana,8,25,212.5,199.4,4.37,3772,3811,3937,21.21,63.5
Nebraska,17,30,76.47,80.88,-2.44,5537,5651,5402,30.7,55.53
Nevada,41,80,95.12,133.05,-16.27,13414,12942,11231,30.57,71.23
New Hampshire,9,7,-22.22,-15.49,-7.97,2636,2622,2426,34.14,28.85
New Jersey,40,87,117.5,141.85,-10.07,19050,18613,17132,21,50.78
