State,Year,Cause.General,Total.Deaths
Iowa,2015,Death - Offender - Homicide,0
Iowa,2015,Death - Offender - Natural Causes,19
Iowa,2015,Death - Offender Suicide,1
Iowa,2015,Death - COVID-19,0
Iowa,2016,Death - Offender - Homicide,1
Iowa,2016,Death - Offender - Natural Causes,27
Iowa,2016,Death - Offender Suicide,1
Iowa,2016,Death - COVID-19,0
Iowa,2017,Death - Offender - Homicide,0
Iowa,2017,Death - Offender - Natural Causes,14
Iowa,2017,Death - Offender Suicide,2
Iowa,2017,Death - COVID-19,0
Iowa,2018,Death - Offender - Homicide,0
Iowa,2018,Death - Offender - Natural Causes,18
Iowa,2018,Death - Offender Suicide,1
Iowa,2018,Death - COVID-19,0
Iowa,2019,Death - Offender - Homicide,0
Iowa,2019,Death - Offender - Natural Causes,13
Iowa,2019,Death - Offender Suicide,3
Iowa,2019,Death - COVID-19,0
Iowa,2020,Death - Offender - Homicide,1
Iowa,2020,Death - Offender - Natural Causes,14
Iowa,2020,Death - Offender Suicide,1
Iowa,2020,Death - COVID-19,14
