"State","Year","Circumstance.General","Total.Deaths"
"Minnesota",2017,"Cancer",1
"Minnesota",2017,"Chronic Lower Respiratory Disease",1
"Minnesota",2017,"Stroke",2
"Minnesota",2017,"Suicide",1
"Minnesota",2017,"Hep C",1
"Minnesota",2017,"Thromboembolic Disease",1
"Minnesota",2018,"Cancer",3
"Minnesota",2018,"Suicide",2
"Minnesota",2018,"Unknown",2
"Minnesota",2019,"Cancer",3
"Minnesota",2019,"Heart or Liver Disease",4
"Minnesota",2019,"Stroke",1
"Minnesota",2019,"Suicide",1
"Minnesota",2019,"Thromboembolic Disease",1
"Minnesota",2020,"Cancer",5
"Minnesota",2020,"Heart or Liver Disease",4
"Minnesota",2020,"Flu/Pneumonia/COVID-19",7
"Minnesota",2020,"Thromboembolic Disease",1
"Minnesota",2020,"Diabetes",1
