State,Year,Cause.General,Total.Deaths
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,1
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,1
South Carolina,2015,Accidental,2
South Carolina,2015,Accidental,0
South Carolina,2015,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,2
South Carolina,2016,Accidental,1
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,0
South Carolina,2016,Accidental,1
South Carolina,2016,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,1
South Carolina,2017,Accidental,1
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2017,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,1
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,1
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,1
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,0
South Carolina,2018,Accidental,1
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,2
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,1
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,0
South Carolina,2019,Accidental,1
South Carolina,2019,Accidental,2
South Carolina,2019,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,1
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,0
South Carolina,2020,Accidental,1
South Carolina,2020,Accidental,1
South Carolina,2020,Accidental,0
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,1
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,1
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,1
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,0
South Carolina,2015,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,1
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,1
South Carolina,2016,Homicide,1
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,2
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2016,Homicide,0
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,4
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,2
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,0
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,1
South Carolina,2017,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,1
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,8
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2018,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,3
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,2
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,1
South Carolina,2019,Homicide,2
South Carolina,2019,Homicide,0
South Carolina,2019,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,1
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,1
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,0
South Carolina,2020,Homicide,1
South Carolina,2015,Natural,2
South Carolina,2015,Natural,7
South Carolina,2015,Natural,3
South Carolina,2015,Natural,1
South Carolina,2015,Natural,31
South Carolina,2015,Natural,10
South Carolina,2015,Natural,0
South Carolina,2015,Natural,1
South Carolina,2015,Natural,4
South Carolina,2015,Natural,2
South Carolina,2015,Natural,2
South Carolina,2015,Natural,1
South Carolina,2016,Natural,1
South Carolina,2016,Natural,7
South Carolina,2016,Natural,2
South Carolina,2016,Natural,2
South Carolina,2016,Natural,4
South Carolina,2016,Natural,24
South Carolina,2016,Natural,8
South Carolina,2016,Natural,3
South Carolina,2016,Natural,1
South Carolina,2016,Natural,2
South Carolina,2016,Natural,3
South Carolina,2016,Natural,2
South Carolina,2016,Natural,2
South Carolina,2016,Natural,2
South Carolina,2016,Natural,1
South Carolina,2017,Natural,4
South Carolina,2017,Natural,15
South Carolina,2017,Natural,10
South Carolina,2017,Natural,1
South Carolina,2017,Natural,1
South Carolina,2017,Natural,1
South Carolina,2017,Natural,26
South Carolina,2017,Natural,2
South Carolina,2017,Natural,8
South Carolina,2017,Natural,5
South Carolina,2017,Natural,0
South Carolina,2017,Natural,1
South Carolina,2017,Natural,5
South Carolina,2017,Natural,3
South Carolina,2017,Natural,1
South Carolina,2017,Natural,1
South Carolina,2017,Natural,1
South Carolina,2018,Natural,1
South Carolina,2018,Natural,13
South Carolina,2018,Natural,2
South Carolina,2018,Natural,1
South Carolina,2018,Natural,5
South Carolina,2018,Natural,2
South Carolina,2018,Natural,17
South Carolina,2018,Natural,12
South Carolina,2018,Natural,2
South Carolina,2018,Natural,2
South Carolina,2018,Natural,1
South Carolina,2018,Natural,2
South Carolina,2018,Natural,6
South Carolina,2018,Natural,3
South Carolina,2018,Natural,1
South Carolina,2018,Natural,3
South Carolina,2018,Natural,1
South Carolina,2019,Natural,1
South Carolina,2019,Natural,5
South Carolina,2019,Natural,2
South Carolina,2019,Natural,1
South Carolina,2019,Natural,2
South Carolina,2019,Natural,0
South Carolina,2019,Natural,12
South Carolina,2019,Natural,9
South Carolina,2019,Natural,2
South Carolina,2019,Natural,1
South Carolina,2019,Natural,1
South Carolina,2019,Natural,4
South Carolina,2019,Natural,0
South Carolina,2019,Natural,0
South Carolina,2019,Natural,3
South Carolina,2019,Natural,3
South Carolina,2020,Natural,3
South Carolina,2020,Natural,21
South Carolina,2020,Natural,1
South Carolina,2020,Natural,1
South Carolina,2020,Natural,3
South Carolina,2020,Natural,2
South Carolina,2020,Natural,14
South Carolina,2020,Natural,16
South Carolina,2020,Natural,8
South Carolina,2020,Natural,0
South Carolina,2020,Natural,12
South Carolina,2020,Natural,4
South Carolina,2020,Natural,3
South Carolina,2020,Natural,4
South Carolina,2020,Natural,4
South Carolina,2020,Natural,1
South Carolina,2015,Suicide,1
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,1
South Carolina,2015,Suicide,1
South Carolina,2015,Suicide,1
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,0
South Carolina,2015,Suicide,1
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,1
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,1
South Carolina,2016,Suicide,1
South Carolina,2016,Suicide,1
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,1
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2016,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,1
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,2
South Carolina,2017,Suicide,1
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,1
South Carolina,2017,Suicide,1
South Carolina,2017,Suicide,0
South Carolina,2017,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,2
South Carolina,2018,Suicide,1
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,3
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,2
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,1
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,0
South Carolina,2018,Suicide,2
South Carolina,2018,Suicide,1
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,2
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,1
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,2
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,0
South Carolina,2019,Suicide,1
South Carolina,2019,Suicide,1
South Carolina,2019,Suicide,1
South Carolina,2019,Suicide,1
South Carolina,2019,Suicide,1
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,2
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,1
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,0
South Carolina,2020,Suicide,0
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2015,Other,"NA"
South Carolina,2016,Other,0
South Carolina,2016,Other,1
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2016,Other,0
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2017,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2018,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2019,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2020,Other,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2015,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2016,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
South Carolina,2017,Undetermined,"NA"
