State,Year,Cause.General,Total.Deaths
Utah,2015,Died,0
Utah,2015,Died/Accidental,0
Utah,2015,Died/Killed,1
Utah,2015,Died/Natural Causes,14
Utah,2015,Died/Suicide,1
Utah,2016,Died,0
Utah,2016,Died/Accidental,0
Utah,2016,Died/Killed,3
Utah,2016,Died/Natural Causes,16
Utah,2016,Died/Suicide,2
Utah,2017,Died,0
Utah,2017,Died/Accidental,2
Utah,2017,Died/Killed,0
Utah,2017,Died/Natural Causes,16
Utah,2017,Died/Suicide,2
Utah,2018,Died,1
Utah,2018,Died/Accidental,0
Utah,2018,Died/Killed,0
Utah,2018,Died/Natural Causes,14
Utah,2018,Died/Suicide,2
Utah,2019,Died,0
Utah,2019,Died/Accidental,1
Utah,2019,Died/Killed,1
Utah,2019,Died/Natural Causes,17
Utah,2019,Died/Suicide,2
Utah,2020,Died,8
Utah,2020,Died/Accidental,0
Utah,2020,Died/Killed,0
Utah,2020,Died/Natural Causes,24
Utah,2020,Died/Suicide,4
