State,Facility,Year,Month,Death.Date,First.Name,Last.Name,Full.Name,ID.No,Death.Age,Sex,Race,Ethnicity,Circumstance.General,Circumstance.Specific,Circumstance.Other
New Hampshire,NH STATE PRISON FOR MEN,2015,March,2015-03-09,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2015,May,2015-05-21,,,,,,M,American Indian or Alaska Native,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2015,June,2015-06-18,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2015,August,2015-08-09,,,,,,M,Black or African American,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2015,October,2015-10-11,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2015,October,2015-10-25,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2015,October,2015-10-26,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2015,December,2015-12-11,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2016,January,2016-01-02,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,January,2016-01-14,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,March,2016-03-21,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2016,April,2016-04-03,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,May,2016-05-19,,,,,,M,Unknown,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,May,2016-05-29,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2016,May,2016-05-30,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,June,2016-06-04,,,,,,M,Black or African American,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2016,July,2016-07-29,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2016,October,2016-10-02,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2017,March,2017-03-03,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2017,March,2017-03-14,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2017,March,2017-03-28,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2017,April,2017-04-07,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2017,July,2017-07-05,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2017,December,2017-12-17,,,,,,M,Black or African American,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2018,January,2018-01-16,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,January,2018-01-18,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2018,February,2018-02-16,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,April,2018-04-07,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,April,2018-04-09,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,June,2018-06-08,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,September,2018-09-05,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2018,October,2018-10-02,,,,,,M,American Indian or Alaska Native,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2018,November,2018-11-29,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2019,February,2019-02-02,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2019,February,2019-02-04,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2019,April,2019-04-18,,,,,,M,White,,,,Incarcerated
New Hampshire,NORTHERN NH CORRECTIONAL FACILITY,2019,May,2019-05-11,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2019,June,2019-06-17,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2019,July,2019-07-01,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2019,August,2019-08-05,,,,,,M,White,,,,Incarcerated
New Hampshire,NH STATE PRISON FOR MEN,2019,August,2019-08-07,,,,,,M,White,,,,Interstate Compact In
