State,Year,Month,Total.Deaths
California,2015,January,28
California,2015,February,35
California,2015,March,28
California,2015,April,35
California,2015,May,24
California,2015,June,29
California,2015,July,31
California,2015,August,38
California,2015,September,28
California,2015,October,29
California,2015,November,19
California,2015,December,31
California,2016,January,24
California,2016,February,25
California,2016,March,22
California,2016,April,34
California,2016,May,34
California,2016,June,22
California,2016,July,29
California,2016,August,21
California,2016,September,24
California,2016,October,33
California,2016,November,32
California,2016,December,34
California,2017,January,27
California,2017,February,21
California,2017,March,46
California,2017,April,35
California,2017,May,27
California,2017,June,27
California,2017,July,26
California,2017,August,28
California,2017,September,47
California,2017,October,47
California,2017,November,28
California,2017,December,29
California,2018,January,42
California,2018,February,32
California,2018,March,37
California,2018,April,33
California,2018,May,43
California,2018,June,40
California,2018,July,44
California,2018,August,40
California,2018,September,33
California,2018,October,22
California,2018,November,43
California,2018,December,43
California,2019,January,42
California,2019,February,25
California,2019,March,39
California,2019,April,42
California,2019,May,39
California,2019,June,31
California,2019,July,18
California,2019,August,36
California,2019,September,32
California,2019,October,34
California,2019,November,23
California,2019,December,38
California,2020,January,33
California,2020,February,45
California,2020,March,38
California,2020,April,22
California,2020,May,30
California,2020,June,42
California,2020,July,57
California,2020,August,36
California,2020,September,35
California,2020,October,36
California,2020,November,28
California,2020,December,91
