State,Year,Month,Facility,Total.Deaths
Colorado,2015,January,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2015,January,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,January,FREMONT CORRECTIONAL FACILITY,1
Colorado,2015,January,ISP - INMATE,1
Colorado,2015,February,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2015,February,COMMUNITY CORRECTIONS,1
Colorado,2015,February,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2015,March,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2015,March,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,April,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2015,April,ISP - INMATE,1
Colorado,2015,May,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2015,June,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2015,June,DENVER RECEPTION & DIAGNOSTIC CENTER,4
Colorado,2015,July,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2015,July,COMMUNITY CORRECTIONS,2
Colorado,2015,July,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2015,August,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,September,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2015,September,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,October,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2015,October,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,October,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2015,October,STERLING CORRECTIONAL FACILITY,1
Colorado,2015,November,CENTENNIAL CORRECTIONAL FACILITY,1
Colorado,2015,November,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2015,November,DENVER RECEPTION & DIAGNOSTIC CENTER,3
Colorado,2015,December,COLORADO TERRITORIAL CORRECTIONAL FACILITY,5
Colorado,2015,December,COMMUNITY CORRECTIONS,2
Colorado,2015,December,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2015,December,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2016,January,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2016,January,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,January,SAN CARLOS CORRECTIONAL FACILITY,1
Colorado,2016,February,BUENA VISTA CORRECTIONAL COMPLEX,1
Colorado,2016,February,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2016,February,CROWLEY COUNTY CORRECTIONAL FACILITY,1
Colorado,2016,February,FREMONT CORRECTIONAL FACILITY,2
Colorado,2016,February,LIMON CORRECTIONAL FACILITY,1
Colorado,2016,March,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2016,March,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2016,March,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2016,March,FREMONT CORRECTIONAL FACILITY,1
Colorado,2016,March,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2016,March,ISP - INMATE,1
Colorado,2016,April,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2016,April,COMMUNITY CORRECTIONS,1
Colorado,2016,April,STERLING CORRECTIONAL FACILITY,1
Colorado,2016,May,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2016,May,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,June,COLORADO TERRITORIAL CORRECTIONAL FACILITY,2
Colorado,2016,June,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,July,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2016,July,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,August,ARKANSAS VALLEY CORRECTIONAL FACILITY,1
Colorado,2016,August,COMMUNITY CORRECTIONS,1
Colorado,2016,August,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,August,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2016,August,JAIL BACKLOG,1
Colorado,2016,September,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2016,September,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2016,September,FOUR MILE CORRECTIONAL CENTER,1
Colorado,2016,October,COMMUNITY CORRECTIONS,2
Colorado,2016,October,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2016,October,FREMONT CORRECTIONAL FACILITY,1
Colorado,2016,October,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2016,October,STERLING CORRECTIONAL FACILITY,2
Colorado,2016,November,COLORADO TERRITORIAL CORRECTIONAL FACILITY,4
Colorado,2016,November,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2016,November,ISP - INMATE,1
Colorado,2016,December,INTERSTATE COMPACT,1
Colorado,2017,January,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2017,February,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2017,February,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2017,February,INTERSTATE COMPACT,1
Colorado,2017,February,TRINIDAD CORRECTIONAL FACILITY,1
Colorado,2017,March,COMMUNITY CORRECTIONS,1
Colorado,2017,March,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2017,March,SAN CARLOS CORRECTIONAL FACILITY,1
Colorado,2017,April,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2017,April,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2017,April,FUGITIVE - COMMUNITY CORRECTIONS,1
Colorado,2017,May,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2017,May,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2017,May,STERLING CORRECTIONAL FACILITY,1
Colorado,2017,June,ARKANSAS VALLEY CORRECTIONAL FACILITY,2
Colorado,2017,June,DENVER RECEPTION & DIAGNOSTIC CENTER,1
Colorado,2017,July,BUENA VISTA CORRECTIONAL COMPLEX,1
Colorado,2017,July,COLORADO TERRITORIAL CORRECTIONAL FACILITY,1
Colorado,2017,July,DENVER RECEPTION & DIAGNOSTIC CENTER,2
Colorado,2017,July,JAIL BACKLOG,1
Colorado,2017,August,COLORADO TERRITORIAL CORRECTIONAL FACILITY,3
Colorado,2017,August,FREMONT CORRECTIONAL FACILITY,1
Colorado,2017,August,INTERSTATE COMPACT,1
Colorado,2017,September,BUENA VISTA CORRECTIONAL COMPLEX,1
