"State","Year","Month","Facility"
"Maine",2018,"February","Maine State Prison"
"Maine",2018,"April","Maine State Prison"
"Maine",2018,"June","Bolduc Correctional Facility"
"Maine",2018,"June","Maine State Prison"
"Maine",2018,"June","Maine State Prison"
"Maine",2018,"July","Maine State Prison"
"Maine",2018,"October","Maine State Prison"
"Maine",2018,"October","Maine State Prison"
"Maine",2018,"November","Maine State Prison"
"Maine",2019,"January","Maine State Prison"
"Maine",2019,"March","Maine State Prison"
"Maine",2019,"April","Maine State Prison"
"Maine",2019,"May","Maine State Prison"
"Maine",2019,"October","Maine State Prison"
"Maine",2019,"December","Maine State Prison"
"Maine",2019,"December","Maine State Prison"
"Maine",2019,"December","Maine State Prison"
