State,Year,Month,Facility,Total.Deaths
Oregon,2015,January,CRCI,1
Oregon,2015,February,CRCI,0
Oregon,2015,March,CRCI,0
Oregon,2015,April,CRCI,0
Oregon,2015,May,CRCI,0
Oregon,2015,June,CRCI,0
Oregon,2015,July,CRCI,0
Oregon,2015,August,CRCI,0
Oregon,2015,September,CRCI,0
Oregon,2015,October,CRCI,0
Oregon,2015,November,CRCI,1
Oregon,2015,December,CRCI,0
Oregon,2016,January,CRCI,0
Oregon,2016,February,CRCI,0
Oregon,2016,March,CRCI,0
Oregon,2016,April,CRCI,0
Oregon,2016,May,CRCI,0
Oregon,2016,June,CRCI,0
Oregon,2016,July,CRCI,0
Oregon,2016,August,CRCI,1
Oregon,2016,September,CRCI,0
Oregon,2016,October,CRCI,0
Oregon,2016,November,CRCI,0
Oregon,2016,December,CRCI,0
Oregon,2017,January,CRCI,0
Oregon,2017,February,CRCI,0
Oregon,2017,March,CRCI,1
Oregon,2017,April,CRCI,0
Oregon,2017,May,CRCI,0
Oregon,2017,June,CRCI,0
Oregon,2017,July,CRCI,0
Oregon,2017,August,CRCI,0
Oregon,2017,September,CRCI,0
Oregon,2017,October,CRCI,0
Oregon,2017,November,CRCI,0
Oregon,2017,December,CRCI,0
Oregon,2018,January,CRCI,1
Oregon,2018,February,CRCI,0
Oregon,2018,March,CRCI,0
Oregon,2018,April,CRCI,0
Oregon,2018,June,CRCI,0
Oregon,2018,August,CRCI,0
Oregon,2018,September,CRCI,0
Oregon,2018,October,CRCI,0
Oregon,2018,November,CRCI,0
Oregon,2018,December,CRCI,1
Oregon,2019,January,CRCI,0
Oregon,2019,February,CRCI,0
Oregon,2019,March,CRCI,0
Oregon,2019,April,CRCI,0
Oregon,2019,May,CRCI,0
Oregon,2019,June,CRCI,0
Oregon,2019,July,CRCI,0
Oregon,2019,August,CRCI,0
Oregon,2019,September,CRCI,0
Oregon,2019,October,CRCI,1
Oregon,2019,November,CRCI,0
Oregon,2019,December,CRCI,0
Oregon,2020,January,CRCI,0
Oregon,2020,February,CRCI,0
Oregon,2020,March,CRCI,0
Oregon,2020,April,CRCI,0
Oregon,2020,May,CRCI,0
Oregon,2020,June,CRCI,0
Oregon,2020,July,CRCI,0
Oregon,2020,August,CRCI,0
Oregon,2020,September,CRCI,0
Oregon,2020,October,CRCI,0
Oregon,2020,November,CRCI,0
Oregon,2020,December,CRCI,0
Oregon,2015,January,EOCI,1
Oregon,2015,February,EOCI,0
Oregon,2015,March,EOCI,1
Oregon,2015,April,EOCI,0
Oregon,2015,May,EOCI,0
Oregon,2015,June,EOCI,0
Oregon,2015,July,EOCI,0
Oregon,2015,August,EOCI,1
Oregon,2015,September,EOCI,0
Oregon,2015,October,EOCI,1
Oregon,2015,November,EOCI,0
Oregon,2015,December,EOCI,0
Oregon,2016,January,EOCI,0
Oregon,2016,February,EOCI,0
Oregon,2016,March,EOCI,0
Oregon,2016,April,EOCI,1
Oregon,2016,May,EOCI,0
Oregon,2016,June,EOCI,0
Oregon,2016,July,EOCI,0
Oregon,2016,August,EOCI,0
Oregon,2016,September,EOCI,0
Oregon,2016,October,EOCI,0
Oregon,2016,November,EOCI,0
Oregon,2016,December,EOCI,0
Oregon,2017,January,EOCI,0
Oregon,2017,February,EOCI,0
Oregon,2017,March,EOCI,0
Oregon,2017,April,EOCI,0
Oregon,2017,May,EOCI,0
Oregon,2017,June,EOCI,0
Oregon,2017,July,EOCI,0
Oregon,2017,August,EOCI,0
Oregon,2017,September,EOCI,1
Oregon,2017,October,EOCI,0
Oregon,2017,November,EOCI,0
