State,Year,Month,Total.Deaths
South Dakota,2015,January,0
South Dakota,2015,February,1
South Dakota,2015,March,1
South Dakota,2015,April,1
South Dakota,2015,May,0
South Dakota,2015,June,0
South Dakota,2015,July,1
South Dakota,2015,August,0
South Dakota,2015,September,1
South Dakota,2015,October,0
South Dakota,2015,November,1
South Dakota,2015,December,1
South Dakota,2016,January,0
South Dakota,2016,February,0
South Dakota,2016,March,0
South Dakota,2016,April,1
South Dakota,2016,May,2
South Dakota,2016,June,0
South Dakota,2016,July,0
South Dakota,2016,August,0
South Dakota,2016,September,1
South Dakota,2016,October,1
South Dakota,2016,November,0
South Dakota,2016,December,0
South Dakota,2017,January,3
South Dakota,2017,February,0
South Dakota,2017,March,2
South Dakota,2017,April,0
South Dakota,2017,May,1
South Dakota,2017,June,0
South Dakota,2017,July,0
South Dakota,2017,August,0
South Dakota,2017,September,0
South Dakota,2017,October,2
South Dakota,2017,November,0
South Dakota,2017,December,4
South Dakota,2018,January,2
South Dakota,2018,February,1
South Dakota,2018,March,0
South Dakota,2018,April,0
South Dakota,2018,May,0
South Dakota,2018,June,2
South Dakota,2018,July,0
South Dakota,2018,August,0
South Dakota,2018,September,1
South Dakota,2018,October,1
South Dakota,2018,November,1
South Dakota,2018,December,0
South Dakota,2019,January,0
South Dakota,2019,February,0
South Dakota,2019,March,1
South Dakota,2019,April,2
South Dakota,2019,May,0
South Dakota,2019,June,1
South Dakota,2019,July,0
South Dakota,2019,August,2
South Dakota,2019,September,2
South Dakota,2019,October,2
South Dakota,2019,November,1
South Dakota,2019,December,2
South Dakota,2020,January,1
South Dakota,2020,February,1
South Dakota,2020,March,0
South Dakota,2020,April,0
South Dakota,2020,May,1
South Dakota,2020,June,1
South Dakota,2020,July,0
South Dakota,2020,August,1
South Dakota,2020,September,0
South Dakota,2020,October,1
South Dakota,2020,November,3
South Dakota,2020,December,2
