State,Year,Month,Total.Deaths
Virginia,2015,January,9
Virginia,2015,February,10
Virginia,2015,March,4
Virginia,2015,April,8
Virginia,2015,May,7
Virginia,2015,June,9
Virginia,2015,July,8
Virginia,2015,August,10
Virginia,2015,September,6
Virginia,2015,October,5
Virginia,2015,November,5
Virginia,2015,December,10
Virginia,2016,January,3
Virginia,2016,February,9
Virginia,2016,March,9
Virginia,2016,April,5
Virginia,2016,May,11
Virginia,2016,June,1
Virginia,2016,July,10
Virginia,2016,August,9
Virginia,2016,September,8
Virginia,2016,October,6
Virginia,2016,November,7
Virginia,2016,December,12
Virginia,2017,January,9
Virginia,2017,February,6
Virginia,2017,March,10
Virginia,2017,April,11
Virginia,2017,May,3
Virginia,2017,June,9
Virginia,2017,July,5
Virginia,2017,August,8
Virginia,2017,September,10
Virginia,2017,October,7
Virginia,2017,November,7
Virginia,2017,December,7
Virginia,2018,January,9
Virginia,2018,February,8
Virginia,2018,March,8
Virginia,2018,April,8
Virginia,2018,May,12
Virginia,2018,June,11
Virginia,2018,July,7
Virginia,2018,August,10
Virginia,2018,September,8
Virginia,2018,October,6
Virginia,2018,November,7
Virginia,2018,December,12
Virginia,2019,January,6
Virginia,2019,February,6
Virginia,2019,March,9
Virginia,2019,April,12
Virginia,2019,May,13
Virginia,2019,June,5
Virginia,2019,July,4
Virginia,2019,August,7
Virginia,2019,September,8
Virginia,2019,October,7
Virginia,2019,November,6
Virginia,2019,December,7
Virginia,2020,January,12
Virginia,2020,February,5
Virginia,2020,March,1
Virginia,2020,April,11
Virginia,2020,May,18
Virginia,2020,June,8
Virginia,2020,July,11
Virginia,2020,August,3
Virginia,2020,September,25
Virginia,2020,October,5
Virginia,2020,November,10
Virginia,2020,December,19
