State,Date,Sex.Group,Age.Group,Number,Percent,Source
Colorado,2019-06-30,Male,19 and Under,36,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,20-29,3984,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,30-39,6080,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,40-49,3949,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,50-59,2477,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,60-69,1030,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Male,70+,258,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,19 and Under,4,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,20-29,545,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,30-39,797,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,40-49,403,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,50-59,174,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,60-69,45,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2019-06-30,Female,70+,10,NA,https://drive.google.com/file/d/1wIO4JwXhJcEXWjw9Jv9tmFcIoX3m_kqd/view
Colorado,2020-06-30,Male,17-19,32,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598205
Colorado,2020-06-30,Male,20-29,3322,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598206
Colorado,2020-06-30,Male,30-39,5361,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598207
Colorado,2020-06-30,Male,40-49,3520,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598208
Colorado,2020-06-30,Male,50-59,2226,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598209
Colorado,2020-06-30,Male,60-69,1021,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598210
Colorado,2020-06-30,Male,70+,258,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598211
Colorado,2020-06-30,Female,17-19,1,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598212
Colorado,2020-06-30,Female,20-29,406,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598213
Colorado,2020-06-30,Female,30-39,608,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598214
Colorado,2020-06-30,Female,40-49,328,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598215
Colorado,2020-06-30,Female,50-59,128,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598216
Colorado,2020-06-30,Female,60-69,39,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598217
Colorado,2020-06-30,Female,70+,10,NA,https://docs.google.com/spreadsheets/d/16iq89k_gnRaufXkPCoaCszhl4Saj1hMG/edit#gid=261598218
