State,Date,Sex.Group,Age.Group,Number,Percent,Source
Florida,2010-01-01,Female,0-20,101,NA,UCLA Records
Florida,2010-01-01,Female,21-24,632,NA,UCLA Records
Florida,2010-01-01,Female,25-29,1084,NA,UCLA Records
Florida,2010-01-01,Female,30-34,1125,NA,UCLA Records
Florida,2010-01-01,Female,35-39,983,NA,UCLA Records
Florida,2010-01-01,Female,40-44,1004,NA,UCLA Records
Florida,2010-01-01,Female,45-49,891,NA,UCLA Records
Florida,2010-01-01,Female,50-54,583,NA,UCLA Records
Florida,2010-01-01,Female,55-59,266,NA,UCLA Records
Florida,2010-01-01,Female,60-64,112,NA,UCLA Records
Florida,2010-01-01,Female,65+,63,NA,UCLA Records
Florida,2010-01-01,Male,0-20,1973,NA,UCLA Records
Florida,2010-01-01,Male,21-24,8594,NA,UCLA Records
Florida,2010-01-01,Male,25-29,13742,NA,UCLA Records
Florida,2010-01-01,Male,30-34,13420,NA,UCLA Records
Florida,2010-01-01,Male,35-39,11653,NA,UCLA Records
Florida,2010-01-01,Male,40-44,11180,NA,UCLA Records
Florida,2010-01-01,Male,45-49,10869,NA,UCLA Records
Florida,2010-01-01,Male,50-54,8165,NA,UCLA Records
Florida,2010-01-01,Male,55-59,4565,NA,UCLA Records
Florida,2010-01-01,Male,60-64,2295,NA,UCLA Records
Florida,2010-01-01,Male,65+,1912,NA,UCLA Records
Florida,2010-02-01,Female,0-20,91,NA,UCLA Records
Florida,2010-02-01,Female,21-24,639,NA,UCLA Records
Florida,2010-02-01,Female,25-29,1095,NA,UCLA Records
Florida,2010-02-01,Female,30-34,1116,NA,UCLA Records
Florida,2010-02-01,Female,35-39,972,NA,UCLA Records
Florida,2010-02-01,Female,40-44,984,NA,UCLA Records
Florida,2010-02-01,Female,45-49,881,NA,UCLA Records
Florida,2010-02-01,Female,50-54,584,NA,UCLA Records
Florida,2010-02-01,Female,55-59,257,NA,UCLA Records
Florida,2010-02-01,Female,60-64,113,NA,UCLA Records
Florida,2010-02-01,Female,65+,64,NA,UCLA Records
Florida,2010-02-01,Male,0-20,1942,NA,UCLA Records
Florida,2010-02-01,Male,21-24,8606,NA,UCLA Records
Florida,2010-02-01,Male,25-29,13693,NA,UCLA Records
Florida,2010-02-01,Male,30-34,13459,NA,UCLA Records
Florida,2010-02-01,Male,35-39,11577,NA,UCLA Records
Florida,2010-02-01,Male,40-44,11165,NA,UCLA Records
Florida,2010-02-01,Male,45-49,10825,NA,UCLA Records
Florida,2010-02-01,Male,50-54,8153,NA,UCLA Records
Florida,2010-02-01,Male,55-59,4557,NA,UCLA Records
Florida,2010-02-01,Male,60-64,2323,NA,UCLA Records
Florida,2010-02-01,Male,65+,1915,NA,UCLA Records
Florida,2010-03-01,Female,0-20,89,NA,UCLA Records
Florida,2010-03-01,Female,21-24,639,NA,UCLA Records
Florida,2010-03-01,Female,25-29,1098,NA,UCLA Records
Florida,2010-03-01,Female,30-34,1132,NA,UCLA Records
Florida,2010-03-01,Female,35-39,970,NA,UCLA Records
