"State","Date","Sex.Group","Age.Group","Number","Percent","Source"
"North Carolina",2014-12-31,"Female","0-20",55,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","21-24",229,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","25-29",433,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","30-34",461,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","35-39",443,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","40-44",350,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","45-49",321,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","50-54",201,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","55-59",98,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","60-64",46,NA,"UCLA Records"
"North Carolina",2014-12-31,"Female","65+",193,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","0-20",1085,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","21-24",3484,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","25-29",5330,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","30-34",5338,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","35-39",4945,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","40-44",4263,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","45-49",3626,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","50-54",3066,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","55-59",1839,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","60-64",962,NA,"UCLA Records"
"North Carolina",2014-12-31,"Male","65+",754,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","0-20",60,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","21-24",253,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","25-29",457,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","30-34",488,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","35-39",463,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","40-44",324,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","45-49",322,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","50-54",208,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","55-59",105,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","60-64",48,NA,"UCLA Records"
"North Carolina",2015-06-30,"Female","65+",135,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","0-20",1029,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","21-24",3578,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","25-29",5392,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","30-34",5376,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","35-39",4990,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","40-44",4204,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","45-49",3678,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","50-54",3080,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","55-59",1925,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","60-64",983,NA,"UCLA Records"
"North Carolina",2015-06-30,"Male","65+",796,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","0-20",72,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","21-24",224,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","25-29",468,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","30-34",482,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","35-39",448,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","40-44",346,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","45-49",328,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","50-54",215,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","55-59",116,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","60-64",47,NA,"UCLA Records"
"North Carolina",2015-12-31,"Female","65+",190,NA,"UCLA Records"
"North Carolina",2015-12-31,"Male","0-20",953,NA,"UCLA Records"
