"State","Date","Sex.Group","Age.Group","Number","Percent","Source"
"New York","2020-12-01","Female","0-20",13,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","21-24",84,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","25-29",230,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","30-34",251,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","35-39",221,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","40-44",167,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","45-49",114,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","50-54",99,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","55-59",83,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","60-64",40,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Female","65+",26,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","0-20",444,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","21-24",2227,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","25-29",5004,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","30-34",5585,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","35-39",5008,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","40-44",4341,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","45-49",3204,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","50-54",2896,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","55-59",2456,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","60-64",1504,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-12-01","Male","65+",1043,NA,"https://doccs.ny.gov/system/files/documents/2021/12/december-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","0-20",14,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","21-24",91,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","25-29",235,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","30-34",262,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","35-39",230,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","40-44",179,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","45-49",111,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","50-54",101,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","55-59",84,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","60-64",41,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Female","65+",27,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","0-20",491,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","21-24",2279,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","25-29",5132,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","30-34",5634,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","35-39",5117,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","40-44",4407,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","45-49",3244,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","50-54",2939,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","55-59",2480,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","60-64",1508,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-11-01","Male","65+",1044,NA,"https://doccs.ny.gov/system/files/documents/2021/12/november-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","0-20",15,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","21-24",93,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","25-29",238,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","30-34",262,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","35-39",245,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","40-44",177,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","45-49",113,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","50-54",105,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","55-59",83,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","60-64",41,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Female","65+",30,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","0-20",520,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","21-24",2347,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","25-29",5269,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","30-34",5709,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","35-39",5172,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","40-44",4463,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","45-49",3288,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","50-54",2996,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","55-59",2525,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","60-64",1518,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-10-01","Male","65+",1039,NA,"https://doccs.ny.gov/system/files/documents/2021/12/october-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","0-20",16,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","21-24",94,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","25-29",239,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","30-34",271,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","35-39",247,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","40-44",179,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","45-49",117,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","50-54",111,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","55-59",83,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","60-64",43,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
"New York","2020-09-01","Female","65+",30,NA,"https://doccs.ny.gov/system/files/documents/2021/12/september-1-2020-inmate-profile-report.pdf"
