State,Date,Age.Group,Number,Percent,Source
Arkansas,2020-06-30,18-24,1443,9.57,https://doc.arkansas.gov/wp-content/uploads/2021/03/Division-of-Correction-FY20-Annual-Report-Board-of-Corrections-Approved-March-19-2021.pdf
Arkansas,2020-06-30,25-34,4669,30.97,https://doc.arkansas.gov/wp-content/uploads/2021/03/Division-of-Correction-FY20-Annual-Report-Board-of-Corrections-Approved-March-19-2021.pdf
Arkansas,2020-06-30,35-44,4294,28.48,https://doc.arkansas.gov/wp-content/uploads/2021/03/Division-of-Correction-FY20-Annual-Report-Board-of-Corrections-Approved-March-19-2021.pdf
Arkansas,2020-06-30,45-54,2646,17.55,https://doc.arkansas.gov/wp-content/uploads/2021/03/Division-of-Correction-FY20-Annual-Report-Board-of-Corrections-Approved-March-19-2021.pdf
Arkansas,2020-06-30,55+,2020,13.4,https://doc.arkansas.gov/wp-content/uploads/2021/03/Division-of-Correction-FY20-Annual-Report-Board-of-Corrections-Approved-March-19-2021.pdf
Arkansas,2019-06-30,18-24,1567,10,https://doc.arkansas.gov/wp-content/uploads/2020/09/Division_of_Correction_FY19_Annual_Report_BOC_Approval-5272020.pdf
Arkansas,2019-06-30,25-34,4858,31,https://doc.arkansas.gov/wp-content/uploads/2020/09/Division_of_Correction_FY19_Annual_Report_BOC_Approval-5272020.pdf
Arkansas,2019-06-30,35-44,4545,29,https://doc.arkansas.gov/wp-content/uploads/2020/09/Division_of_Correction_FY19_Annual_Report_BOC_Approval-5272020.pdf
Arkansas,2019-06-30,45-54,2664,17,https://doc.arkansas.gov/wp-content/uploads/2020/09/Division_of_Correction_FY19_Annual_Report_BOC_Approval-5272020.pdf
Arkansas,2019-06-30,55+,1880,12,https://doc.arkansas.gov/wp-content/uploads/2020/09/Division_of_Correction_FY19_Annual_Report_BOC_Approval-5272020.pdf
Arkansas,2018-06-30,18-24,1563,10,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Annual_Report_BOC_Approval_12_20_2018_Edit_3-28-19.pdf
Arkansas,2018-06-30,25-34,4847,31,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Annual_Report_BOC_Approval_12_20_2018_Edit_3-28-19.pdf
Arkansas,2018-06-30,35-44,4534,29,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Annual_Report_BOC_Approval_12_20_2018_Edit_3-28-19.pdf
Arkansas,2018-06-30,45-54,2658,17,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Annual_Report_BOC_Approval_12_20_2018_Edit_3-28-19.pdf
Arkansas,2018-06-30,55+,1876,12,https://doc.arkansas.gov/wp-content/uploads/2020/09/ADC_FY18_Annual_Report_BOC_Approval_12_20_2018_Edit_3-28-19.pdf
