State,Date,Age.Group,Number,Percent,Source
Georgia,2020-12-31T00:00:00Z,Under 20,547,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,20-29,12842,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,30-39,15713,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,40-49,11244,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,50-59,7063,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,60-69,2770,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2020-12-31T00:00:00Z,70+,712,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2020%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,Under 20,825,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,20-29,15084,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,30-39,16792,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,40-49,11337,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,50-59,7478,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,60-69,2586,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
Georgia,2019-12-31T00:00:00Z,70+,656,NA,http://www.dcor.state.ga.us/sites/default/files/sites/all/gdc/files/pdf/Research/Monthly/GDC%20FY2019%20Annual%20Report.pdf
