State,Date,Age.Group,Number,Percent,Source
Kansas,2020-06-30,15-19,36,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,20-24,796,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,25-29,1381,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,30-34,1575,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,35-39,1501,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,40-44,1177,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,45-49,828,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,50-54,675,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,55-59,550,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,60-64,346,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2020-06-30,65+,324,NA,https://www.doc.ks.gov/publications/Reports/fy-2020-annual-report
Kansas,2019-06-30,15-19,58,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,20-24,991,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,25-29,1616,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,30-34,1679,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,35-39,1666,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,40-44,1195,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,45-49,873,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,50-54,759,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,55-59,547,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,60-64,340,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
Kansas,2019-06-30,65+,320,NA,https://www.doc.ks.gov/publications/Reports/Archived/fy-2019-kdoc-annual-report/view
