"State","Date","Age.Group","Number","Percent","Source"
"Maryland","2019-11-30","16 and under",4,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","17",15,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","18",42,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","19",147,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","20",223,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","21",274,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","22",366,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","23",426,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","24",475,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","25",543,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","26-30",3487,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","31-35",3010,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","36-40",2571,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","41-50",3337,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","51-59",2362,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2019-11-30","Over 60",962,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2019.pdf"
"Maryland","2018-07-30","16 and under",3,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","17",10,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","18",55,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","19",155,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","20",197,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","21",282,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","22",366,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","23",445,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","24",528,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","25",618,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","26-30",3638,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","31-35",2954,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","36-40",2553,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","41-50",3539,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","51-59",2390,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
"Maryland","2018-07-30","Over 60",902,NA,"http://dlslibrary.state.md.us/publications/Exec/DPSCS/DOC/COR3-207(d)_2018.pdf"
