State,Date,Age.Group,Number,Percent,Source
South Carolina,2020-07-01,17-19,159,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,20-24,1371,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,25-29,2515,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,30-34,3001,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,35-39,2714,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,40-44,2342,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,45-49,1705,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,50-54,1406,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,55-59,1125,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,60-64,747,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,65-69,362,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2020-07-01,70 or Over,265,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,17-19,280,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,20-24,1581,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,25-29,3016,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,30-34,3184,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,35-39,2943,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,40-44,2387,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,45-49,1873,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,50-54,1502,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,55-59,1164,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,60-64,701,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,65-69,365,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
South Carolina,2019-07-01,70 or Over,248,NA,http://www.doc.sc.gov/research/InmatePopulationStatsTrend/ASOF_Trend-Age_Distribution_FY17-21.pdf
