State,Date,Age.Group,Number,Percent,Source
Wisconsin,2020-12-31,19 and Under,150,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,20-24,1659,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,25-29,2980,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,30-34,3332,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,35-39,3168,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,40-44,2482,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,45-49,1935,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,50-54,1599,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,55-59,1251,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,60-64,835,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2020-12-31,65 and Older,730,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,19 and Under,275,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,20-24,2294,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,25-29,3809,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,30-34,3966,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,35-39,3714,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,40-44,2709,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,45-49,2215,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,50-54,1796,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,55-59,1383,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,60-64,902,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
Wisconsin,2019-12-31,65 and Older,715,NA,https://doc.wi.gov/Pages/DataResearch/PrisonPointInTime.aspx
