State,Date,Age.Group,Number,Percent,Source
West Virginia,2019-06-30,Under 20,21,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,20-29,1328,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,30-39,1964,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,40-49,1318,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,50-59,727,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,60-69,361,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,70-79,90,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,80 and Over,12,NA,https://dcr.wv.gov/resources/Documents/FY2019%20ANNUAL%20REPORT%20WVDCR.pdf
West Virginia,2019-06-30,Under 20,NA,NA,NA
West Virginia,2019-06-30,20-29,NA,NA,NA
West Virginia,2019-06-30,30-39,NA,NA,NA
West Virginia,2019-06-30,40-49,NA,NA,NA
West Virginia,2019-06-30,50-59,NA,NA,NA
West Virginia,2019-06-30,60-69,NA,NA,NA
West Virginia,2019-06-30,70-79,NA,NA,NA
West Virginia,2019-06-30,80 and Over,NA,NA,NA
