state,date_scraped,year_scraped,state_total
AL,"Last Updated February 11, 2016",2016,3730
AR,"Last Updated February 11, 2016",2016,3474
AZ,"Last Updated February 11, 2016",2016,4477
CA,"Last Updated February 11, 2016",2016,16981
CO,"Last Updated February 11, 2016",2016,3607
CT,"Last Updated February 11, 2016",2016,856
FL,"Last Updated February 11, 2016",2016,12427
GA,"Last Updated February 11, 2016",2016,7698
HI,"Last Updated February 11, 2016",2016,402
IL,"Last Updated February 11, 2016",2016,4672
IN,"Last Updated February 11, 2016",2016,2621
KS,"Last Updated February 11, 2016",2016,1834
KY,"Last Updated February 11, 2016",2016,7297
LA,"Last Updated February 11, 2016",2016,5446
MA,"Last Updated February 11, 2016",2016,1177
MD,"Last Updated February 11, 2016",2016,1331
MI,"Last Updated February 11, 2016",2016,1479
MN,"Last Updated February 11, 2016",2016,3328
MO,"Last Updated February 11, 2016",2016,1023
MS,"Last Updated February 11, 2016",2016,5718
NC,"Last Updated February 11, 2016",2016,5983
NH,"Last Updated February 11, 2016",2016,1101
NJ,"Last Updated February 11, 2016",2016,5826
NM,"Last Updated February 11, 2016",2016,1086
NY,"Last Updated February 11, 2016",2016,4153
OH,"Last Updated February 11, 2016",2016,2357
OK,"Last Updated February 11, 2016",2016,4306
OR,"Last Updated February 11, 2016",2016,1735
Other,"Last Updated February 11, 2016",2016,13246
PA,"Last Updated February 11, 2016",2016,12955
PR,"Last Updated February 11, 2016",2016,1310
SC,"Last Updated February 11, 2016",2016,6272
SD,"Last Updated February 11, 2016",2016,538
TN,"Last Updated February 11, 2016",2016,1265
TX,"Last Updated February 11, 2016",2016,27853
VA,"Last Updated February 11, 2016",2016,4338
WA,"Last Updated February 11, 2016",2016,580
WI,"Last Updated February 11, 2016",2016,1004
WV,"Last Updated February 11, 2016",2016,10244
AL,"Last Updated April 20, 2017",2017,3389
AR,"Last Updated April 20, 2017",2017,3511
AZ,"Last Updated April 20, 2017",2017,4425
CA,"Last Updated April 20, 2017",2017,15766
CO,"Last Updated April 20, 2017",2017,3750
CT,"Last Updated April 20, 2017",2017,1108
FL,"Last Updated April 20, 2017",2017,12087
GA,"Last Updated April 20, 2017",2017,7156
HI,"Last Updated April 20, 2017",2017,397
IL,"Last Updated April 20, 2017",2017,4737
IN,"Last Updated April 20, 2017",2017,2747
